site_id,detected,truth,recall_pct,capture_date,split,lot_character,notes
UK001,12,51,23.5,2023-05-20,uk_train_calibration,sparse/shadowed,1 tile; heavy hand-annotation
UK002,123,141,87.2,2021-04-24,uk_test,busy/dense,1 tile
UK003,0,17,0.0,2021-04-24,uk_test,sparse,0 pre-labels - verified real sparse lot; 1 tile
UK004,0,8,0.0,2021-07-17,uk_test,very sparse,0 pre-labels - verified real sparse lot; 1 tile
UK005,61,105,58.1,2022-07-19,uk_test,moderate,1 tile (rebuilt after tiler fix); de-duped via count_site.py
UK006,9,17,52.9,2022-04-26,uk_test,medium,1 tile
UK007,33,104,31.7,2022-04-30,uk_test,busy/long,2 tiles (609x808); de-duped (truth 170->104 dups66; det 55->33 dups22)
UK008,57,71,80.3,2021-04-23,uk_test,medium/busy,1 tile (455x535)
UK009,19,31,61.3,2023-05-21,uk_train_calibration,medium,1 tile (351x340)
UK010,16,39,41.0,2021-04-24,uk_train_calibration,small/dense,1 tile (172x285)
UK011,59,93,63.4,2022-04-30,uk_test,busy,4 tiles (853x1066); de-duped (truth 193->93 hand-verified; det 113->59); 2x2 heavy overlap
UK012,7,24,29.2,2023-07-03,uk_test,small/sparse,1 tile (212x351)
UK013,36,93,38.7,2022-04-30,uk_test,busy/dense,1 tile (573x593); model weak despite busy - dense/occluded packing
UK014,92,123,74.8,2022-04-30,uk_train_calibration,medium,2 tiles (760x447); de-duped via count_site.py
UK015,300,329,91.2,2022-04-26,uk_train_calibration,large/busy,4 tiles (815x879); de-duped via count_site.py
UK016,80,100,80.0,2022-04-21,uk_test,medium,2 tiles (456x716); de-duped via count_site.py
UK017,60,63,95.2,2021-06-14,uk_test,medium,1 tile (551x341)
UK018,77,74,104.1,2022-04-21,uk_train_calibration,medium,1 tile (540x640); detected > truth (false positives)
UK019,23,51,45.1,2022-04-30,uk_test,moderate,1 tile (519x594); model weak - possible dense/occluded packing
UK020,18,51,35.3,2022-04-26,uk_train_calibration,moderate,1 tile (570x413); model weak - possible dense/occluded packing
UK021,16,22,72.7,2022-04-17,uk_test,small,1 tile
UK022,52,103,50.5,2022-04-30,uk_test,busy/dense,1 tile
UK023,109,146,74.7,2023-05-20,uk_test,busy,2 tiles; de-duped via count_site.py (truth 268->146 dups122; det 191->109 dups82)
UK024,22,95,23.2,2023-05-27,uk_train_calibration,busy/dense,1 tile; model weak despite single tile - check for occlusion/lighting/lot-specific issue
UK025,1,64,1.6,2022-04-30,uk_test,unknown - NEEDS INVESTIGATION,1 tile; near-total detection failure - check raw image/pre-label step before trusting this number
UK026,2,14,14.3,2023-04-11,uk_test,unknown - NEEDS INVESTIGATION,1 tile; severe under-detection on a small sparse lot - check raw image/pre-label step
UK027,41,52,78.8,2022-06-16,uk_train_calibration,medium,1 tile
UK028,131,138,94.9,2021-04-20,uk_test,large/busy/dense,2 tiles (rebuilt with patched tiler); de-duped via count_site.py (truth 266->138 dups128; det 252->131 dups121)
UK029,19,30,63.3,2023-05-21,uk_train_calibration,moderate,2 tiles; de-duped via count_site.py (truth 52->30 dups22; det 33->19 dups14)
UK030,138,139,99.3,2021-05-31,uk_test,large/busy,2 tiles; de-duped via count_site.py (truth 273->139 dups134; det 269->138 dups131); near-perfect recall
