                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3417,                 2.0948,                0.98244,                0.55542,                0.47723,                0.46394,                0.12578,                 2.8174,                 1.7675,                 1.1368,             0.00066397,             0.00066397,             0.00066397
                      2,                 2.0809,                 1.2836,                 0.9183,                0.80008,                0.68773,                0.75861,                0.30228,                 2.3698,                 1.5014,                 1.0983,              0.0013175,              0.0013175,              0.0013175
                      3,                  2.036,                 1.2143,                0.91424,                0.67562,                0.57985,                0.64706,                0.27221,                 2.3271,                 1.6244,                 1.0585,              0.0019578,              0.0019578,              0.0019578
                      4,                 1.9753,                 1.2014,                0.90145,                0.43685,                0.35877,                0.28868,                0.05789,                 3.2023,                 1.7159,                 1.1958,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.9023,                 1.1077,                0.89239,                 0.5112,                0.41677,                 0.3712,                0.06977,                 3.0497,                 1.5946,                 1.1556,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.8794,                 1.1011,                0.88732,                0.78088,                 0.6634,                0.72103,                0.24712,                 2.4312,                 1.3168,                 1.0645,               0.001901,               0.001901,               0.001901
                      7,                  1.829,                 1.0442,                0.88205,                0.40454,                0.21369,                0.18942,                0.04158,                 3.2642,                 1.6748,                 1.2223,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.7951,                 1.0419,                0.87945,                0.88871,                0.78446,                0.86765,                0.39133,                  1.942,                 1.2002,                0.97568,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.7587,                0.98146,                0.87284,                0.92216,                0.83478,                0.90832,                0.45568,                  1.749,                 1.1581,                0.95334,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.7261,                0.97101,                0.87019,                0.90994,                0.82852,                0.90532,                0.44631,                 1.7935,                 1.2243,                0.95848,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.7181,                0.97524,                0.86736,                0.85833,                0.74944,                0.83472,                 0.3608,                 1.9948,                 1.2183,                0.97697,               0.001802,               0.001802,               0.001802
                     12,                  1.717,                0.95753,                0.86858,                0.91791,                0.82862,                0.90253,                0.42263,                 1.7914,                  1.177,                0.94248,              0.0017822,              0.0017822,              0.0017822
                     13,                  1.679,                 0.9335,                0.86245,                0.87492,                0.79416,                0.87252,                0.36448,                 1.9808,                 1.1641,                0.96344,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.6724,                0.92893,                0.86037,                0.91226,                0.83431,                0.90625,                0.44455,                 1.7949,                 1.1657,                0.95218,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.6721,                0.92752,                0.86409,                0.89378,                0.82201,                0.89042,                0.40625,                  1.884,                 1.1192,                0.96013,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.6531,                0.90971,                 0.8588,                0.92544,                0.86115,                0.92574,                0.49572,                 1.6276,                 1.0879,                0.92764,               0.001703,               0.001703,               0.001703
                     17,                 1.6583,                0.92088,                0.85993,                0.92469,                0.85354,                0.92023,                0.45008,                 1.7273,                 1.1193,                0.93465,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.6477,                0.92054,                0.85836,                0.91221,                0.83554,                0.90676,                0.42841,                 1.8037,                 1.1321,                0.93876,              0.0016634,              0.0016634,              0.0016634
                     19,                  1.623,                0.90298,                0.85594,                 0.9042,                0.82477,                 0.8991,                0.43086,                 1.7832,                 1.1067,                0.94365,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.6331,                 0.8977,                0.85513,                0.90511,                0.81908,                0.90081,                0.43126,                 1.7929,                 1.1059,                0.94273,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.6196,                0.87739,                0.85384,                0.91558,                0.81585,                0.89529,                0.40722,                 1.8314,                 1.1512,                0.94433,               0.001604,               0.001604,               0.001604
                     22,                 1.6079,                0.87698,                0.85319,                0.92535,                  0.834,                0.91804,                0.47238,                 1.6256,                 1.0594,                0.92192,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.5816,                0.87078,                0.85046,                0.93715,                0.87262,                 0.9357,                0.52128,                 1.5671,                 1.0313,                0.92055,              0.0015644,              0.0015644,              0.0015644
                     24,                  1.582,                0.86823,                0.85015,                0.93358,                0.83708,                0.91807,                0.46813,                 1.6547,                 1.0578,                  0.919,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.5844,                0.85326,                0.85154,                0.91419,                0.84569,                 0.9178,                0.45353,                 1.6696,                 1.0282,                0.92063,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.5675,                0.85117,                0.84983,                0.91377,                 0.8478,                0.91957,                0.46187,                 1.7052,                  1.042,                0.92604,               0.001505,               0.001505,               0.001505
                     27,                 1.5711,                0.85994,                0.84983,                0.91543,                0.85262,                0.91728,                0.44053,                 1.7147,                 1.0238,                0.92022,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.5699,                0.84772,                0.85158,                0.92364,                0.83677,                0.91667,                0.46012,                 1.6809,                 1.0479,                0.92398,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.5463,                0.84026,                0.84709,                 0.9067,                0.82831,                0.90226,                 0.4031,                  1.819,                 1.0532,                0.93767,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.5681,                0.84351,                0.84989,                0.91559,                0.83615,                0.91313,                0.43869,                  1.712,                 1.0161,                 0.9278,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.5499,                0.83581,                0.84787,                0.92141,                 0.8568,                0.92552,                0.45943,                  1.672,                 1.0474,                0.91597,               0.001406,               0.001406,               0.001406
                     32,                 1.5295,                 0.8253,                0.84677,                0.90221,                0.82185,                0.89601,                0.38066,                  1.867,                 1.0551,                0.93548,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.5537,                0.84363,                0.84767,                0.90896,                0.82846,                0.90579,                0.42068,                 1.7854,                 1.0368,                0.92958,              0.0013664,              0.0013664,              0.0013664
