                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3337,                 1.8539,                0.98206,                0.84752,                0.74968,                0.82147,                0.25611,                  2.383,                  1.345,                0.99255,              0.0006629,              0.0006629,              0.0006629
                      2,                 2.0375,                 1.2111,                0.90157,                0.87878,                0.73433,                 0.8389,                 0.3555,                 1.9636,                 1.0448,                0.90923,              0.0013164,              0.0013164,              0.0013164
                      3,                 1.9797,                 1.1558,                0.89343,                0.61189,                0.50948,                0.48598,                0.11527,                 2.9446,                 1.2824,                 1.0355,              0.0019567,              0.0019567,              0.0019567
                      4,                 1.8843,                 1.0878,                0.88318,                0.77804,                0.77442,                0.78351,                0.32018,                 1.9902,                 1.1891,                0.91195,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.8934,                 1.0809,                0.87979,                0.90051,                0.84108,                 0.8927,                0.41497,                 1.7633,                0.93799,                0.89406,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.8033,                 1.0155,                0.87215,                0.86571,                0.76217,                0.82912,                0.31956,                 2.1328,                 1.0487,                0.92152,               0.001901,               0.001901,               0.001901
                      7,                 1.7897,                0.98668,                0.86692,                0.52811,                0.37216,                0.35094,                0.08742,                 3.2652,                 1.4934,                 1.0948,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.7444,                0.96695,                0.86517,                0.93054,                0.84466,                0.92081,                0.47317,                 1.6156,                0.90296,                0.87281,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.7235,                0.95686,                0.86333,                0.84904,                0.71966,                0.79815,                0.34582,                 2.0046,                 1.0032,                0.91849,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.6948,                0.92889,                0.85928,                0.88593,                0.78546,                0.86597,                0.37711,                 1.9443,                 0.9444,                 0.9062,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.6814,                0.93413,                0.85663,                 0.8997,                0.79235,                0.88321,                0.38128,                 1.9472,                0.95929,                0.90543,               0.001802,               0.001802,               0.001802
                     12,                 1.6855,                0.91804,                 0.8572,                0.92451,                0.85888,                0.91445,                0.46223,                 1.5646,                0.87707,                0.87108,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.6736,                0.91335,                0.85741,                0.93354,                0.83755,                0.91677,                0.45344,                 1.6628,                0.87117,                0.87884,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.6758,                0.90413,                0.85432,                0.91096,                0.84592,                0.91125,                0.41981,                 1.7674,                 0.8856,                0.88651,              0.0017426,              0.0017426,              0.0017426
                     15,                   1.63,                0.87053,                0.85284,                0.92754,                0.84861,                0.91853,                0.44525,                 1.7263,                0.85369,                0.88357,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.6497,                0.86945,                0.85035,                0.91511,                 0.8347,                0.90538,                0.43865,                 1.7766,                0.87935,                0.88389,               0.001703,               0.001703,               0.001703
                     17,                 1.6387,                0.87185,                0.85032,                  0.893,                0.80711,                0.88455,                0.39173,                 1.8796,                0.90957,                0.89683,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.6176,                0.86307,                0.85027,                0.93621,                 0.8605,                0.92566,                0.49174,                 1.5078,                0.84038,                0.86489,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.5902,                 0.8566,                0.84715,                0.91825,                0.82896,                0.90626,                0.42631,                 1.8575,                0.88824,                0.89335,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.5906,                0.84798,                0.84626,                0.88642,                0.79053,                0.86827,                0.36379,                 2.1212,                0.94928,                0.91848,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.6263,                0.84726,                0.85095,                0.92328,                0.87532,                0.93117,                0.49414,                 1.5378,                0.83137,                0.86745,               0.001604,               0.001604,               0.001604
                     22,                  1.583,                0.83506,                0.84893,                0.84573,                0.72235,                 0.8116,                0.26004,                 2.5821,                 1.0171,                0.97379,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.5879,                0.82393,                0.84434,                0.92916,                0.86378,                0.92544,                0.48208,                 1.5497,                0.83353,                0.86845,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.5462,                0.82979,                0.84369,                0.92544,                0.85335,                0.92122,                0.47477,                 1.6176,                0.85154,                0.87172,              0.0015446,              0.0015446,              0.0015446
