                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8838,                 2.0541,                 1.2623,                0.45724,                0.30488,                0.32412,                0.04357,                 3.6639,                 1.8502,                 1.2535,                      0,                      0,                      0
                      2,                 2.6188,                 1.8295,                 1.1067,                 0.4638,                0.30488,                 0.3446,                0.04611,                 3.6407,                 1.8677,                 1.2486,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 2.4634,                 1.9989,                 1.0675,                0.46423,                0.30488,                0.34292,                0.04738,                  3.616,                 1.8796,                 1.2413,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 2.6889,                 1.9772,                 1.1919,                0.49235,                0.31707,                0.36687,                0.05059,                 3.6005,                 1.8761,                  1.239,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 2.8622,                  1.707,                    1.3,                0.49302,                0.31707,                0.37055,                0.05031,                 3.6063,                 1.8857,                 1.2412,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 2.7754,                 1.7773,                 1.1639,                0.65205,                0.43428,                0.50321,                0.07436,                 3.4674,                 1.7715,                 1.2027,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                  2.533,                 1.4561,                 1.0773,                0.70954,                 0.5122,                0.61522,                0.10078,                 3.2828,                  1.668,                 1.1596,             0.00011287,             0.00011287,             0.00011287
                      8,                 2.5127,                 1.5072,                 1.0577,                0.80251,                0.62195,                0.75291,                0.15003,                 3.0878,                 1.5215,                 1.1152,              0.0001303,              0.0001303,              0.0001303
                      9,                 2.4875,                 1.3953,                 1.1006,                0.84211,                0.71951,                0.78334,                0.18739,                 2.8717,                 1.3805,                  1.077,             0.00014733,             0.00014733,             0.00014733
                     10,                  2.421,                 1.3866,                0.99692,                0.87081,                0.76829,                0.83107,                0.22004,                 2.7382,                 1.2568,                 1.0537,             0.00016396,             0.00016396,             0.00016396
                     11,                 2.2609,                 1.4073,                  1.035,                0.88943,                0.78483,                0.84872,                 0.2572,                 2.5835,                 1.1439,                 1.0278,              0.0001802,              0.0001802,              0.0001802
                     12,                 2.2709,                  1.196,                 1.0444,                0.90732,                0.78049,                0.87407,                0.29627,                 2.4444,                 1.0566,                 1.0042,             0.00019604,             0.00019604,             0.00019604
                     13,                 2.4052,                 1.2369,                  1.029,                0.93016,                 0.8122,                0.90081,                0.31085,                 2.3572,                0.99328,                0.99095,             0.00021149,             0.00021149,             0.00021149
                     14,                 2.1808,                0.96008,                0.94351,                0.92484,                0.82927,                0.92115,                0.32878,                 2.3321,                0.96244,                 0.9857,             0.00022654,             0.00022654,             0.00022654
                     15,                 2.1509,                0.90344,                 1.0378,                0.93237,                0.84068,                0.92714,                0.34403,                 2.2494,                0.93258,                0.97156,             0.00024119,             0.00024119,             0.00024119
                     16,                 2.2073,                0.93883,                 1.0451,                0.90748,                0.86585,                0.93385,                0.36954,                 2.1787,                0.91287,                0.95937,             0.00025545,             0.00025545,             0.00025545
                     17,                 2.1017,                0.92784,                0.99923,                0.88946,                 0.8832,                0.93762,                0.38531,                 2.1283,                0.89928,                0.95028,             0.00026931,             0.00026931,             0.00026931
                     18,                 2.0362,                0.88241,                 1.0523,                0.88946,                 0.8832,                0.93762,                0.38531,                 2.1283,                0.89928,                0.95028,             0.00028278,             0.00028278,             0.00028278
                     19,                 1.9967,                0.82619,                0.92365,                0.90078,                0.88579,                0.93889,                 0.3794,                 2.1625,                0.91256,                0.95431,             0.00029585,             0.00029585,             0.00029585
                     20,                 1.9408,                0.89054,                0.93943,                0.90078,                0.88579,                0.93889,                 0.3794,                 2.1625,                0.91256,                0.95431,             0.00030852,             0.00030852,             0.00030852
                     21,                 2.0291,                0.88492,                 1.0247,                0.89315,                0.89024,                0.94079,                0.37885,                 2.1369,                0.89452,                0.94793,              0.0003208,              0.0003208,              0.0003208
                     22,                 1.9323,                 0.8694,                0.99657,                0.89315,                0.89024,                0.94079,                0.37885,                 2.1369,                0.89452,                0.94793,             0.00033268,             0.00033268,             0.00033268
                     23,                 2.1311,                0.95797,                 1.0161,                0.90007,                0.87874,                0.94416,                0.40473,                 2.0526,                0.88788,                0.93298,             0.00034417,             0.00034417,             0.00034417
                     24,                 1.8534,                  0.824,                0.93277,                0.90007,                0.87874,                0.94416,                0.40473,                 2.0526,                0.88788,                0.93298,             0.00035526,             0.00035526,             0.00035526
                     25,                 1.7761,                0.80745,                0.93228,                0.89958,                0.89024,                0.94736,                0.42801,                 1.9411,                0.87959,                0.91728,             0.00036595,             0.00036595,             0.00036595
                     26,                  2.142,                 0.9816,                0.94944,                0.89958,                0.89024,                0.94736,                0.42801,                 1.9411,                0.87959,                0.91728,             0.00037625,             0.00037625,             0.00037625
