                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0359,                 6.2967,                 1.0609,                0.41766,                0.55042,                0.36282,                0.17665,                 1.8433,                 2.1587,                 1.0481,             0.00065728,             0.00065728,             0.00065728
                      2,                 2.0737,                 2.1019,                 1.0588,                 0.4715,                0.55233,                  0.481,                0.21232,                 1.8733,                 1.6626,                 1.0721,              0.0013108,              0.0013108,              0.0013108
                      3,                 1.9872,                 1.9402,                 1.0724,                0.44194,                0.34884,                0.36051,                0.15943,                 1.9969,                 2.2939,                 1.1113,              0.0019512,              0.0019512,              0.0019512
                      4,                 2.0222,                 1.8719,                 1.0675,                 0.4861,                0.47674,                0.44745,                0.16439,                 1.9538,                 1.8675,                 1.0888,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.9811,                 1.7685,                 1.0472,                0.53122,                    0.5,                0.44876,                0.17415,                 2.1494,                 1.7139,                 1.1514,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.9194,                 1.6995,                 1.0323,                0.56275,                0.54651,                0.60096,                0.25677,                 1.9118,                 1.5649,                 1.0557,               0.001901,               0.001901,               0.001901
                      7,                 1.9408,                 1.6671,                 1.0383,                0.54935,                0.62791,                0.57996,                0.30189,                 1.8065,                 1.7503,                 1.0284,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.9053,                 1.6731,                 1.0254,                0.52512,                0.65577,                 0.5927,                0.27355,                 1.7999,                 1.4425,                 1.0225,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.8002,                  1.581,                 0.9895,                0.58213,                0.61628,                0.62782,                0.30771,                 1.7547,                 1.4553,                  1.012,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.7867,                 1.4928,                 1.0128,                0.54543,                0.70459,                0.59879,                0.29487,                 1.6541,                 1.3569,                 1.0004,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.8084,                 1.5438,                 1.0041,                0.54933,                0.61628,                0.63006,                 0.3112,                 1.7026,                 1.4098,                0.99938,               0.001802,               0.001802,               0.001802
                     12,                  1.748,                 1.5057,                 0.9841,                0.58108,                0.74419,                0.69583,                0.34525,                 1.7001,                 1.2861,                  1.004,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.7944,                 1.4725,                 1.0182,                 0.6402,                0.59884,                0.66384,                0.34847,                 1.6951,                 1.3766,                 1.0009,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.7061,                 1.4612,                0.98586,                0.58462,                0.63953,                0.64174,                0.29767,                 1.8074,                 1.3457,                 1.0233,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.7417,                 1.5004,                0.98722,                0.58151,                0.71093,                0.65953,                0.33031,                 1.6504,                 1.2666,                0.99408,              0.0017228,              0.0017228,              0.0017228
                     16,                  1.728,                 1.4471,                0.98353,                0.52621,                0.69093,                0.62427,                0.30163,                 1.6784,                 1.4232,                0.99667,               0.001703,               0.001703,               0.001703
                     17,                 1.6886,                 1.4579,                0.96768,                0.53069,                0.74419,                0.64769,                 0.3579,                 1.5914,                 1.3415,                0.97539,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.7236,                 1.3426,                0.98636,                0.59696,                0.62209,                0.61935,                0.30754,                 1.7319,                 1.4361,                 1.0252,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.6506,                 1.4161,                0.96521,                0.73168,                0.56977,                0.72557,                0.35777,                 1.7511,                 1.3117,                0.99204,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.7244,                 1.4042,                0.97045,                0.65493,                0.68414,                0.70943,                0.38779,                 1.6232,                  1.261,                0.96705,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.6138,                 1.3803,                0.96336,                0.62915,                0.66279,                0.66746,                0.33519,                 1.6355,                 1.2738,                0.98146,               0.001604,               0.001604,               0.001604
                     22,                 1.6688,                 1.3302,                 0.9754,                0.62861,                 0.6686,                0.73193,                0.39847,                 1.6062,                 1.2192,                0.97586,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.6661,                 1.3268,                0.97159,                0.63692,                 0.7093,                0.72194,                 0.3658,                 1.7321,                 1.2418,                 1.0007,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.6118,                 1.2926,                0.94722,                0.71414,                0.65698,                0.75221,                 0.3973,                 1.6107,                 1.1721,                0.97823,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.6788,                 1.3427,                0.98449,                0.59582,                0.68605,                0.65787,                0.33615,                 1.6474,                 1.3151,                0.98085,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.6405,                 1.3185,                0.96315,                  0.649,                0.66652,                0.69402,                0.37422,                 1.5888,                  1.257,                0.97845,               0.001505,               0.001505,               0.001505
                     27,                  1.625,                 1.2531,                0.96908,                0.56268,                0.76744,                0.70135,                0.37614,                 1.6186,                 1.2143,                0.97571,              0.0014852,              0.0014852,              0.0014852
                     28,                  1.584,                 1.2455,                0.94605,                0.72253,                0.72669,                0.74504,                0.37685,                 1.7227,                 1.1767,                 1.0027,              0.0014654,              0.0014654,              0.0014654
